No:,3 month,1 month,1 week,Patients num,,,,,,
181,1,1,1.088,39,,,,,,
182,1,1,1.04,39,,,,,,
183,1,1,1,39,,,,,,
184,1,1,1,35,,,,,,
185,1,1,1,126,,,,,,
186,1,1,1.114,76,,,,,,
187,1,1,0.995,97,,,,,,
188,1,1,1,55,,,,,,
189,1,1,1,34,,,,,,
190,1,1,1,67,,,,,,
191,1,1,1,109,,,,,,
192,1,1,1.101,51,,,,,,
193,1,1,1.348,90,,,,,,
194,1,0.997,1.099,99,,,,,,
195,1,1,0.912,36,,,,,,
196,1,1,1,99,,,,,,
197,1,1,2.698,64,,,,,,
198,1,1,1.16,64,,,,,,
199,1,1,3.345,75,,,,,,
200,1,1,1,84,,,,,,
201,1,1,1.68,80,,,,,,
202,1,1,0.618,63,,,,,,
203,1,1,1.144,23,,,,,,
204,1,1,3.528,90,,,,,,
205,1,1,1.154,61,,,,,,
206,1,1,0.416,75,,,,,,
207,1,1,3.896,53,,,,,,
208,1,1,2.401,34,,,,,,
209,1,1,0.977,101,,,,,,
210,1,1,3.244,45,,,,,,
211,1,1,0.437,30,,,,,,
212,1,1,1,69,,,,,,
213,1,1,1,26,,,,,,
214,1,1,0.443,77,,,,,,
215,1,1,0.991,101,,,,,,
216,1,1,0.811,42,,,,,,
217,1,1,0.67,50,,,,,,
218,1,1,1,137,,,,,,
219,1,1,0.851,72,,,,,,
220,1,1,1.06,43,,,,,,
221,1,1,0.348,43,,,,,,
222,1,1,1,82,,,,,,
223,1,1,1,79,,,,,,
224,1,1,1,76,,,,,,
225,1,1,1,51,,,,,,
226,1,1,1.121,53,,,,,,
227,1,1,1.049,100,,,,,,
228,1,1,1.236,99,,,,,,
229,1,1,0.501,40,,,,,,
230,1,1,0.904,65,,,,,,
231,1,1.001,0.441,102,,,,,,
232,1,1,1.286,79,,,,,,
233,1,1,1,41,,,,,,
234,1,1,1,64,,,,,,
235,1,1,0.807,66,,,,,,
236,1,1,1.422,75,,,,,,
237,1,1,1,47,,,,,,
238,1,1,1,41,,,,,,
239,1,0.994,0.36,103,,,,,,
240,1,1,1.189,51,,,,,,
241,1,1,1.128,71,,,,,,
242,1,1,1.071,99,,,,,,
243,1,1,1.059,105,,,,,,
244,1,1,1,102,,,,,,
245,1,1,2.014,58,,,,,,
246,1,1,1,101,,,,,,
247,1,1,0.305,33,,,,,,
248,1,1,0.365,23,,,,,,
249,1,1,1,31,,,,,,
250,1,1,1.285,43,,,,,,
251,1,1,2.958,24,,,,,,
252,1,1,1,33,,,,,,
253,1,1,1.093,34,,,,,,
254,1,1,1.068,32,,,,,,
255,1,1,0.994,80,,,,,,
256,1,1,0.918,33,,,,,,
257,1,1,1.139,63,,,,,,
258,1,1,0.236,52,,,,,,
259,1,1,1,66,,,,,,
260,1,1,1,105,,,,,,
261,1,1,1.024,51,,,,,,
262,1,1,1.02,63,,,,,,
263,1,1,1,61,,,,,,
264,1,1,1,99,,,,,,
265,1,1,1.106,25,,,,,,
266,1,1,1,49,,,,,,
267,1,1,0.683,65,,,,,,
268,1,1,1,110,,,,,,
269,1,1,1,76,,,,,,
270,1,1,0.236,56,,,,,,
271,1,1,1,33,,,,,,
272,1,1,1,58,,,,,,
273,1,1,0.794,35,,,,,,
274,1,1,0.991,28,,,,,,
275,1,1,1.007,80,,,,,,
276,1,1,1,80,,,,,,
277,1,1,1,47,,,,,,
278,1,1,1,46,,,,,,
279,1,1,0.371,86,,,,,,
280,1,1,1,65,,,,,,
281,1,1,3.674,29,,,,,,
282,1,1,0.857,30,,,,,,
283,1,1,1.006,64,,,,,,
284,1,1,0.392,124,,,,,,
285,1,1,1,99,,,,,,
286,1,1,1,59,,,,,,
287,1,1,0.322,89,,,,,,
288,1,1,1,61,,,,,,
289,1,1,3.726,97,,,,,,
290,1,1.001,1,93,,,,,,
291,1,1,0.485,57,,,,,,
292,1,1,1,30,,,,,,
293,1,1,1,114,,,,,,
294,1,1,1,117,,,,,,
295,1,1,1.245,111,,,,,,
296,1,1,1.118,70,,,,,,
297,1,1,0.424,72,,,,,,
298,1,1,1,36,,,,,,
299,1,1,1,95,,,,,,
300,1,1,1,40,,,,,,
301,1,1,1,119,,,,,,
302,1,1,1,34,,,,,,
303,1,1,1.269,97,,,,,,
304,1,1,1,45,,,,,,
305,1,0.996,1,92,,,,,,
306,1,1,0.527,44,,,,,,
307,1,1,0.934,26,,,,,,
308,1,1,1.222,39,,,,,,
309,1,1,1.422,91,,,,,,
310,1,1,1,138,,,,,,
311,1,1,0.487,89,,,,,,
312,1,1,1,40,,,,,,
313,1,1,1.023,53,,,,,,
314,1,0.991,1,134,,,,,,
315,1,1,2.025,84,,,,,,
316,1,1,1.208,52,,,,,,
317,1,1,1,83,,,,,,
318,1,1,1.233,73,,,,,,
319,1,0.988,1,48,,,,,,
320,1,1,0.375,66,,,,,,
321,1,1,1.014,93,,,,,,
322,1,1,1.034,43,,,,,,
323,1,1,0.87,36,,,,,,
324,1,1,1,116,,,,,,
325,1,1,1,52,,,,,,
326,1,1,3.073,48,,,,,,
327,1,1,1,28,,,,,,
328,1,1,1.027,30,,,,,,
329,1,1,1.209,110,,,,,,
330,1,1,4.399,36,,,,,,
331,1,0.988,1.128,115,,,,,,
332,1,1,1.013,53,,,,,,
333,1,1,1.025,78,,,,,,
334,1,1,1,57,,,,,,
335,1,1,0.493,77,,,,,,
336,1,1,1.115,50,,,,,,
337,1,1,1,61,,,,,,
338,1,1,1,52,,,,,,
339,1,1,1.581,100,,,,,,
340,1,1,1,68,,,,,,
341,1,1,1,95,,,,,,
342,1,1,1,137,,,,,,
343,1,1,0.665,87,,,,,,
344,1,1,1,63,,,,,,
345,1,1,1,25,,,,,,
346,1,1,4.069,91,,,,,,
347,1,1,1.084,56,,,,,,
348,1,1,1,64,,,,,,
349,1,1,1.186,46,,,,,,
350,1,1,0.342,104,,,,,,
351,1,1,1,115,,,,,,
352,1,1,0.522,102,,,,,,
353,1,1,1.237,39,,,,,,
354,1,1,1,114,,,,,,
355,1,1,2.022,115,,,,,,
356,1,1,1.251,96,,,,,,
357,1,1,1.81,79,,,,,,
358,1,1,0.62,77,,,,,,
359,1,1,1,89,,,,,,
360,1,1,1,96,,,,,,
361,1,1,0.882,91,,,,,,
362,1,1,1,55,,,,,,
363,1,1,0.851,80,,,,,,
364,1,1,0.522,38,,,,,,
365,1,1,0.71,44,,,,,,
366,1,1,0.692,75,,,,,,
367,1,1,0.887,110,,,,,,
368,1,1,1,69,,,,,,
369,1,1,0.821,81,,,,,,
370,1,1,1.146,86,,,,,,
371,1,1,1,116,,,,,,
372,1,1,1,81,,,,,,
373,1,1,1.07,94,,,,,,
374,1,1,1.086,64,,,,,,
375,1,1,1,122,,,,,,
376,1,1,0.962,117,,,,,,
377,1,1,1,66,,,,,,
378,1,1,1,47,,,,,,
379,1,1,0.995,24,,,,,,
380,1,1,1,88,,,,,,
381,1,1,1.003,65,,,,,,
382,1,0.995,1.386,73,,,,,,
383,1,1,1,79,,,,,,
384,1,0.999,0.903,75,,,,,,
385,1,1,2.602,75,,,,,,
386,1,1,1.039,41,,,,,,
387,1,1,2.293,113,,,,,,
388,1,1,1.521,122,,,,,,
389,1,1,0.556,51,,,,,,
390,1,1,1.008,40,,,,,,
391,1,1,1,47,,,,,,
392,1,1,0.721,42,,,,,,
393,1,1,0.409,105,,,,,,
394,1,1,1,53,,,,,,
395,1,1,0.268,67,,,,,,
396,1,1,1.055,63,,,,,,
397,1,1,1.006,84,,,,,,
398,1,1,0.413,47,,,,,,
399,1,1,0.427,85,,,,,,
400,1,1,1,88,,,,,,
401,1,1.004,1,105,,,,,,
402,1,1,0.993,44,,,,,,
403,1,1,1.44,65,,,,,,
404,1,1,0.435,26,,,,,,
405,1,1,1,68,,,,,,
406,1,1,1.187,81,,,,,,
407,1,1,1.016,98,,,,,,
408,1,1,1.212,72,,,,,,
409,1,1,1.224,76,,,,,,
410,1,1,1.12,57,,,,,,
411,1,1,1,39,,,,,,
412,1,1,1,69,,,,,,
413,1,1,0.808,61,,,,,,
414,1,1,1,92,,,,,,
415,1,1,0.891,79,,,,,,
